iter	Passed	Remaining
1132	149656	8849
1133	149811	8719
1134	149959	8587
1135	150089	8455
1136	150227	8323
1137	150345	8191
1138	150487	8059
1139	150611	7926
1140	150729	7794
1141	150860	7661
1142	151000	7530
1143	151142	7398
1144	151281	7266
1145	151428	7135
1146	151570	7003
1147	151703	6871
1148	151824	6738
1149	151960	6606
1150	152119	6475
1151	152237	6343
1152	152382	6211
1153	152522	6079
1154	152643	5947
1155	152788	5815
1156	152927	5683
1157	153086	5552
1158	153221	5420
1159	153345	5287
1160	153491	5156
1161	153619	5023
1162	153758	4891
1163	153882	4759
1164	154031	4627
1165	154182	4495
1166	154305	4363
1167	154439	4231
1168	154582	4099
1169	154721	3967
1170	154864	3835
1171	154994	3702
1172	155137	3570
1173	155268	3438
1174	155404	3306
1175	155531	3174
1176	155666	3041
1177	155786	2909
1178	155929	2777
1179	156041	2644
1180	156174	2512
1181	156313	2380
1182	156444	2248
1183	156549	2115
1184	156670	1983
1185	156825	1851
1186	156941	1718
1187	157087	1586
1188	157204	1454
1189	157332	1322
1190	157469	1189
1191	157607	1057
1192	157733	925
1193	157847	793
1194	157989	661
1195	158135	528
1196	158257	396
1197	158369	264
1198	158507	132
1199	158646	0
